protocol,seed,originated,delivered,resolved,completion_rate,satellite,dropped_loop,dropped_ttl,blocked,stall_no_belief,belief_hops_mean,delivered_hops_mean,gossip_redundant_share,mpr_share,delivered_per_orig
reactive+overhear,13,2382,1122,1965,0.5709923664122137,164,679,0,268,7585,7.334770367763505,3.9590017825311943,,,0.47103274559193953
reactive+overhear,14,2378,1068,1933,0.5525090532850492,239,626,0,281,8582,7.065508649019537,3.609550561797753,,,0.44911690496215306
reactive+overhear,15,2387,955,1869,0.5109684323167469,314,600,0,453,10373,7.381552331965555,3.9528795811518322,,,0.40008378718056137
reactive+overhear,16,2383,1147,1965,0.5837150127226464,218,600,0,377,7997,6.674816333504186,4.151700087183958,,,0.4813260595887537
reactive+overhear,17,2387,955,1924,0.49636174636174635,292,677,0,501,9028,7.374376433747224,3.825130890052356,,,0.40008378718056137
reactive+overhear,18,2387,923,1923,0.4799791991679667,290,710,0,409,10443,7.5005002452182445,3.9891657638136513,,,0.38667783829074154
reactive+overhear,19,2378,832,1898,0.4383561643835616,314,752,0,327,10066,8.065129474256052,4.069711538461538,,,0.34987384356602186
reactive+ring,0,2378,1185,1806,0.6561461794019934,607,14,0,28,26410,3.9558545415248285,3.0767932489451475,,,0.49831791421362487
reactive+ring,1,2384,938,1740,0.539080459770115,776,26,0,53,29973,4.387035385072852,3.1759061833688698,,,0.3934563758389262
reactive+ring,2,2380,843,1677,0.5026833631484794,815,19,0,59,30849,4.413756045137023,3.077105575326216,,,0.3542016806722689
reactive+ring,3,2372,853,1704,0.5005868544600939,827,24,0,37,31818,4.367086900829232,3.0691676436107853,,,0.35961214165261385
reactive+ring,4,2377,943,1694,0.5566706021251476,723,28,0,80,28665,4.268980213089802,3.1505832449628843,,,0.39671855279764406
reactive+ring,5,2381,816,1685,0.48427299703264093,859,10,0,54,33551,4.2078922040423485,3.0404411764705883,,,0.3427131457370853
reactive+ring,6,2385,955,1755,0.5441595441595442,748,52,0,134,28099,4.700129789515264,3.3675392670157067,,,0.40041928721174
reactive+ring,7,2385,723,1683,0.4295900178253119,923,37,0,23,34632,4.817193824014391,3.3817427385892116,,,0.3031446540880503
reactive+ring,8,2381,714,1630,0.43803680981595094,892,24,0,142,32036,4.687093916125222,3.044817927170868,,,0.2998740025199496
reactive+ring,9,2375,914,1724,0.5301624129930395,783,27,0,123,29507,4.342803854522847,3.050328227571116,,,0.3848421052631579
reactive+ring,10,2388,918,1749,0.5248713550600344,809,22,0,36,31266,4.636851754845469,3.406318082788671,,,0.3844221105527638
reactive+ring,11,2390,724,1626,0.44526445264452646,881,21,0,113,32535,4.72997679488081,3.153314917127072,,,0.302928870292887
reactive+ring,12,2382,769,1683,0.45692216280451575,877,37,0,95,32331,4.934579439252336,3.377113133940182,,,0.3228379513014274
reactive+ring,13,2382,965,1753,0.5504848830576156,751,37,0,32,29910,4.5070096382525975,3.3471502590673574,,,0.4051217464315701
reactive+ring,14,2377,959,1734,0.5530565167243368,735,40,0,55,29492,4.215450965685355,3.0281543274244003,,,0.4034497265460665
reactive+ring,15,2386,792,1699,0.46615656268393174,884,23,0,91,33193,4.511845039018952,3.297979797979798,,,0.3319362950544845
reactive+ring,16,2383,982,1746,0.5624284077892325,726,38,0,60,28569,4.53517884547279,3.420570264765784,,,0.4120856063785145
reactive+ring,17,2388,792,1674,0.4731182795698925,845,37,0,73,31714,4.641344097150348,3.0972222222222223,,,0.3316582914572864
