seed,nBalloons,ackPolicy,towerContact,meshHop,rounds,meanDegree,groundedPct,believedGroundedPct,originated,delivered,satellite,acked,ackLost,droppedLoop,droppedTtl,blocked,completionRate,meanTowerAdjacent,deliveryCeilingPerRound,slotsWithBundle,stallNoBelief,stallStaleNextHop
6,2000,digest,4,4,800,10.1530,99.8000,99.8000,7936,7373,39,6984,0,174,2,4873,0.971666,37.5763,30.0610,32838,286,45
12,2000,digest,4,4,800,10.3525,99.7500,99.8000,7938,7115,79,6594,0,196,17,7966,0.960578,29.2413,23.3930,34990,343,42
0,2000,digest,4,8,800,10.1565,99.8500,99.9000,7907,7337,90,6876,0,162,3,10111,0.966412,44.9350,35.9480,32236,230,43
1,600,source-routed,1,1,800,3.0133,33.1667,33.8333,2379,724,1275,616,95,8,0,262,0.360737,14.4925,2.8985,45509,40867,59
6,2000,digest,4,8,800,10.1530,99.8000,99.8000,7936,7375,37,6984,0,171,2,7939,0.972314,37.5763,30.0610,32417,286,42
1,600,source-routed,1,2,800,3.0133,33.1667,33.8333,2378,788,1237,695,78,5,0,131,0.388177,14.4925,2.8985,44676,40848,57
7,600,source-routed,1,1,800,2.9367,17.6667,17.6667,2384,398,1595,310,78,6,0,259,0.199100,4.6913,0.9383,53459,50301,30
1,600,source-routed,1,4,800,3.0133,33.1667,33.8333,2379,799,1229,700,83,6,0,30,0.392822,14.4925,2.8985,44436,40811,60
12,2000,digest,4,8,800,10.3525,99.7500,99.8000,7936,7144,59,6608,0,184,24,13111,0.963972,29.2413,23.3930,34256,343,40
7,600,source-routed,1,2,800,2.9367,17.6667,17.6667,2382,418,1572,347,62,6,0,600,0.209419,4.6913,0.9383,53075,50301,30
1,600,source-routed,1,8,800,3.0133,33.1667,33.8333,2379,798,1229,705,77,8,0,44,0.392138,14.4925,2.8985,44415,40811,60
13,600,source-routed,1,1,800,3.1667,32.8333,32.8333,2371,646,1343,536,103,5,0,344,0.323972,12.3338,2.4668,44406,39627,33
7,600,source-routed,1,4,800,2.9367,17.6667,17.6667,2383,418,1572,343,64,8,0,924,0.209209,4.6913,0.9383,52941,50301,29
1,600,source-routed,4,1,800,3.0133,33.1667,33.8333,2379,726,1272,615,98,9,0,255,0.361734,14.4925,11.5940,45405,40867,61
13,600,source-routed,1,2,800,3.1667,32.8333,32.8333,2370,720,1282,596,110,6,0,329,0.358566,12.3338,2.4668,43710,39631,31
7,600,source-routed,1,8,800,2.9367,17.6667,17.6667,2383,419,1573,348,61,6,0,1488,0.209710,4.6913,0.9383,52953,50301,29
1,600,source-routed,4,2,800,3.0133,33.1667,33.8333,2379,798,1233,694,86,6,0,78,0.391753,14.4925,11.5940,44389,40848,57
13,600,source-routed,1,4,800,3.1667,32.8333,32.8333,2371,730,1271,599,120,6,0,842,0.363727,12.3338,2.4668,43546,39603,29
7,600,source-routed,4,1,800,2.9367,17.6667,17.6667,2384,455,1557,329,114,10,0,64,0.225025,4.6913,3.7530,53230,50301,30
1,600,source-routed,4,4,800,3.0133,33.1667,33.8333,2379,814,1227,662,136,5,0,4,0.397849,14.4925,11.5940,44174,40811,58
13,600,source-routed,1,8,800,3.1667,32.8333,32.8333,2371,735,1268,606,116,4,0,1523,0.366218,12.3338,2.4668,43517,39603,33
7,600,source-routed,4,2,800,2.9367,17.6667,17.6667,2384,482,1539,357,114,6,0,7,0.237790,4.6913,3.7530,52634,50301,29
1,600,source-routed,4,8,800,3.0133,33.1667,33.8333,2379,814,1227,668,130,5,0,7,0.397849,14.4925,11.5940,44144,40811,58
13,600,source-routed,4,1,800,3.1667,32.8333,32.8333,2370,672,1328,539,119,6,0,331,0.334995,12.3338,9.8670,44314,39629,34
7,600,source-routed,4,4,800,2.9367,17.6667,17.6667,2384,486,1537,349,124,5,0,0,0.239645,4.6913,3.7530,52533,50301,29
1,600,digest,1,1,800,3.0133,33.1667,33.8333,2379,810,1229,769,0,6,0,0,0.396088,14.4925,2.8985,45441,40867,60
13,600,source-routed,4,2,800,3.1667,32.8333,32.8333,2371,766,1248,560,189,5,0,228,0.379396,12.3338,9.8670,43399,39604,33
7,600,source-routed,4,8,800,2.9367,17.6667,17.6667,2384,484,1537,350,123,5,0,6,0.238894,4.6913,3.7530,52503,50301,29
1,600,digest,1,2,800,3.0133,33.1667,33.8333,2379,812,1229,773,0,4,0,20,0.397066,14.4925,2.8985,44854,40848,59
13,600,source-routed,4,4,800,3.1667,32.8333,32.8333,2371,814,1208,573,222,4,0,179,0.401777,12.3338,9.8670,43139,39604,34
7,600,digest,1,1,800,2.9367,17.6667,17.6667,2384,421,1574,390,0,7,0,295,0.210290,4.6913,0.9383,53515,50301,28
1,600,digest,1,4,800,3.0133,33.1667,33.8333,2379,812,1229,773,0,4,0,31,0.397066,14.4925,2.8985,44715,40811,59
13,600,source-routed,4,8,800,3.1667,32.8333,32.8333,2371,825,1204,585,218,4,0,115,0.405804,12.3338,9.8670,43061,39604,36
1,600,digest,1,8,800,3.0133,33.1667,33.8333,2379,812,1229,773,0,4,0,34,0.397066,14.4925,2.8985,44711,40811,59
7,600,digest,1,2,800,2.9367,17.6667,17.6667,2383,422,1571,386,0,4,0,726,0.211317,4.6913,0.9383,53221,50301,23
13,600,digest,1,1,800,3.1667,32.8333,32.8333,2371,740,1266,686,0,4,0,174,0.368159,12.3338,2.4668,44524,39632,35
1,600,digest,4,1,800,3.0133,33.1667,33.8333,2379,817,1229,779,0,6,0,0,0.398148,14.4925,11.5940,45319,40867,60
7,600,digest,1,4,800,2.9367,17.6667,17.6667,2383,422,1571,386,0,4,0,1271,0.211317,4.6913,0.9383,53181,50301,23
1,600,digest,4,2,800,3.0133,33.1667,33.8333,2379,822,1226,781,0,4,0,1,0.400585,14.4925,11.5940,44601,40848,59
7,600,digest,1,8,800,2.9367,17.6667,17.6667,2383,422,1572,387,0,4,0,1856,0.211211,4.6913,0.9383,53153,50301,23
13,600,digest,1,2,800,3.1667,32.8333,32.8333,2371,741,1264,690,0,3,0,551,0.369024,12.3338,2.4668,44010,39604,31
1,600,digest,4,4,800,3.0133,33.1667,33.8333,2379,822,1226,781,0,4,0,4,0.400585,14.4925,11.5940,44441,40811,59
7,600,digest,4,1,800,2.9367,17.6667,17.6667,2384,482,1541,454,0,7,0,0,0.237438,4.6913,3.7530,53196,50301,28
